א;ן;ב;ה;נ;ו;י;ל;א;ה;ו;ה;י;ר;ב;ד;י;ה;י;ו;(19, 1, 1, 1, 1)
ה;ה;ו;נ;י;נ;ל;א;ך;ל;ם;ו;ק;ר;מ;א;ל;י;ת;מ;(19, 1, 1, 21, 21)
ע;י;כ;ה;י;ל;ע;א;ר;ק;ו;ה;ל;ו;ד;ג;ה;ר;י;ע;(19, 1, 2, 14, 41)
ל;ה;נ;ו;י;ם;ק;י;ו;י;נ;פ;ל;ם;ת;ע;ר;ה;ת;ל;(19, 1, 2, 34, 61)
י;ו;ה;ו;ה;י;י;נ;פ;ל;מ;ה;ש;י;ש;ר;ת;ח;ר;ב;(19, 1, 3, 10, 81)
ש;ר;ת;ה;א;ב;ה;י;נ;א;א;צ;מ;י;ו;ו;פ;י;ד;ר;(19, 1, 3, 30, 101)
א;ו;ב;ל;ה;ב;ד;ר;י;ו;ה;ר;כ;ש;ן;ת;י;ו;ש;י;(19, 1, 3, 50, 121)
ו;ה;ו;ה;י;י;נ;פ;ל;מ;ה;ש;י;ש;ר;ת;ם;ה;מ;ע;(19, 1, 3, 70, 141)
י;ה;ל;א;ה;ל;ו;ד;ג;ח;ו;ר;ל;י;ט;ה;ה;ו;ה;י;(19, 1, 4, 2, 161)
י;נ;א;ה;ו;ם;י;ב;ל;ו;ד;ג;ר;ע;ס;י;ה;י;ו;ם;(19, 1, 4, 22, 181)
ח;ל;מ;ה;ו;א;ר;י;י;ו;ר;ב;ש;ה;ל;ה;ב;ש;ח;ה;(19, 1, 4, 42, 201)
י;ו;ו;י;ה;ל;א;ל;א;ש;י;א;ו;ק;ע;ז;י;ו;ם;י;(19, 1, 5, 11, 221)
ל;א;ה;י;נ;א;ב;ר;ש;א;ם;י;ל;כ;ה;ת;א;ו;ל;ט;(19, 1, 5, 31, 241)
ר;י;ה;נ;ו;י;ו;ם;ה;י;ל;ע;מ;ל;ק;ה;ל;ם;י;ה;(19, 1, 5, 51, 261)
ו;ב;כ;ש;י;ו;ה;נ;י;פ;ס;ה;י;ת;כ;ר;י;ל;א;ד;(19, 1, 5, 71, 281)
ו;ל;ב;ח;ה;ב;ר;ו;י;ל;א;ב;ר;ק;י;ו;ם;ד;ר;י;(19, 1, 5, 91, 301)
א;ר;ק;ם;ו;ק;ם;ד;ר;נ;ך;ל;ה;מ;ו;ל;ר;מ;א;י;(19, 1, 6, 17, 321)
ה;ל;א;ה;ת;ש;ע;ת;י;י;ל;ו;א;ך;י;ה;ל;א;ל;א;(19, 1, 6, 37, 341)
י;א;ו;ר;מ;א;י;ו;ד;ב;א;נ;א;ל;ו;ו;נ;ל;ם;י;(19, 1, 6, 57, 361)
ל;ר;ו;ג;ה;ל;י;פ;נ;ו;ו;כ;ל;ו;ה;ע;ר;ל;א;ש;(19, 1, 7, 9, 381)
ת;א;ז;ה;ה;ע;ר;ה;י;מ;ל;ש;ב;ה;ע;ד;נ;ו;ת;ו;(19, 1, 7, 29, 401)
ג;ה;ל;פ;י;ו;ת;ו;ל;ר;ו;ג;ו;ל;פ;י;ו;ו;נ;ל;(19, 1, 7, 49, 421)
ה;ו;י;ל;א;ו;ר;מ;א;י;ו;ה;נ;ו;י;ל;ע;ל;ר;ו;(19, 1, 7, 69, 441)
ה;ע;ר;ה;י;מ;ל;ר;ש;א;ב;ו;נ;ל;א;נ;ה;ד;י;ג;(19, 1, 8, 12, 461)
ן;י;א;מ;ו;ך;ת;כ;א;ל;מ;ה;מ;ו;נ;ל;ת;א;ז;ה;(19, 1, 8, 32, 481)
ת;א;ם;ע;ה;ז;מ;י;א;ו;ך;צ;ר;א;ה;מ;א;ו;ב;ת;(19, 1, 8, 52, 501)
ו;י;כ;נ;א;י;ר;ב;ע;ם;ה;י;ל;א;ר;מ;א;י;ו;ה;(19, 1, 8, 72, 521)
ר;י;י;נ;א;ם;י;מ;ש;ה;י;ה;ל;א;ה;ו;ה;י;ת;א;(19, 1, 9, 20, 541)
ה;ש;ב;י;ה;ת;א;ו;ם;י;ה;ת;א;ה;ש;ע;ר;ש;א;א;(19, 1, 9, 40, 561)
ל;ו;ד;ג;ה;א;ר;י;ם;י;ש;נ;א;ה;ו;א;ר;י;י;ו;(19, 1, 10, 1, 581)
ת;י;ש;ע;ת;א;ז;ה;מ;ו;י;ל;א;ו;ר;מ;א;י;ו;ה;(19, 1, 10, 21, 601)
י;י;נ;פ;ל;מ;י;כ;ם;י;ש;נ;א;ה;ו;ע;ד;י;י;כ;(19, 1, 10, 41, 621)
י;ו;ם;ה;ל;ד;י;ג;ה;י;כ;ח;ר;ב;א;ו;ה;ה;ו;ה;(19, 1, 10, 61, 641)
ת;ש;י;ו;ך;ל;ה;ש;ע;נ;ה;מ;ו;י;ל;א;ו;ר;מ;א;(19, 1, 11, 3, 661)
ו;ך;ל;ו;ה;ם;י;ה;י;כ;ו;נ;י;ל;ע;מ;ם;י;ה;ק;(19, 1, 11, 23, 681)
ה;ו;י;נ;ו;א;ש;ם;ה;י;ל;א;ר;מ;א;י;ו;ר;ע;ס;(19, 1, 11, 43, 701)
ע;מ;ם;י;ה;ק;ת;ש;י;ו;ם;י;ה;ל;א;י;נ;ל;י;ט;(19, 1, 12, 18, 721)
ה;י;ל;ש;ב;י;כ;י;נ;א;ע;ד;ו;י;י;כ;ם;כ;י;ל;(19, 1, 12, 38, 741)
ת;ח;י;ו;ם;כ;י;ל;ע;ה;ז;ה;ל;ו;ד;ג;ה;ר;ע;ס;(19, 1, 12, 58, 761)
ה;ש;ב;י;ה;ל;א;ב;י;ש;ה;ל;ם;י;ש;נ;א;ה;ו;ר;(19, 1, 13, 5, 781)
ר;ע;ס;ו;ך;ל;ו;ה;ם;י;ה;י;כ;ו;ל;כ;י;א;ל;ו;(19, 1, 13, 25, 801)
א;י;ו;ה;ו;ה;י;ל;א;ו;א;ר;ק;י;ו;ם;ה;י;ל;ע;(19, 1, 13, 45, 821)
ב;ה;ד;ב;א;נ;א;נ;ל;א;ה;ו;ה;י;ה;נ;א;ו;ר;מ;(19, 1, 14, 16, 841)
נ;י;ל;ע;ן;ת;ת;ל;א;ו;ה;ז;ה;ש;י;א;ה;ש;פ;נ;(19, 1, 14, 36, 861)
ר;ש;א;כ;ה;ו;ה;י;ה;ת;א;י;כ;א;י;ק;נ;ם;ד;ו;(19, 1, 14, 56, 881)
ו;ה;נ;ו;י;ת;א;ו;א;ש;י;ו;ת;י;ש;ע;ת;צ;פ;ח;(19, 1, 14, 76, 901)
ז;מ;ם;י;ה;ד;מ;ע;י;ו;ם;י;ה;ל;א;ו;ה;ל;ט;י;(19, 1, 15, 13, 921)
ג;ה;א;ר;י;ם;י;ש;נ;א;ה;ו;א;ר;י;י;ו;ו;פ;ע;(19, 1, 15, 33, 941)
ל;ח;ב;ז;ו;ח;ב;ז;י;ו;ה;ו;ה;י;ת;א;ה;ל;ו;ד;(19, 1, 16, 18, 961)
ה;י;ן;מ;י;ו;ם;י;ר;ד;נ;ו;ר;ד;י;ו;ה;ו;ה;י;(19, 1, 16, 38, 981)
י;ו;ה;נ;ו;י;ת;א;ע;ל;ב;ל;ל;ו;ד;ג;ג;ד;ה;ו;(19, 2, 1, 7, 1001)
י;מ;י;ה;ש;ל;ש;ג;ד;ה;י;ע;מ;ב;ה;נ;ו;י;י;ה;(19, 2, 1, 27, 1021)
נ;ו;י;ל;ל;פ;ת;י;ו;ת;ו;ל;י;ל;ה;ש;ל;ש;ו;ם;(19, 2, 1, 47, 1041)
ה;ג;ד;ה;י;ע;מ;מ;ו;י;ה;ל;א;ה;ו;ה;י;ל;א;ה;(19, 2, 2, 10, 1061)
ה;י;ל;א;י;ל;ה;ר;צ;מ;י;ת;א;ר;ק;ר;מ;א;י;ו;(19, 2, 3, 1, 1081)
ת;ע;ו;ש;ל;ו;א;ש;ן;ט;ב;מ;י;נ;נ;ע;י;ו;ה;ו;(19, 2, 3, 21, 1101)
ו;צ;מ;י;נ;כ;י;ל;ש;ת;ו;י;ל;ו;ק;ת;ע;מ;ש;י;(19, 2, 3, 41, 1121)
י;נ;ב;ב;ס;י;ר;ה;נ;ו;ם;י;מ;י;ב;ב;ל;ב;ה;ל;(19, 2, 4, 12, 1141)
ו;ר;ב;ע;י;ל;ע;ך;י;ל;ג;ו;ך;י;ר;ב;ש;מ;ל;כ;(19, 2, 4, 32, 1161)
ע;ד;ג;נ;מ;י;ת;ש;ר;ג;נ;י;ת;ר;מ;א;י;נ;א;ו;(19, 2, 5, 1, 1181)
י;ה;ל;א;ט;י;ב;ה;ל;ף;י;ס;ו;א;ך;א;ך;י;נ;י;(19, 2, 5, 21, 1201)
ש;פ;נ;ד;ע;ם;י;מ;י;נ;ו;פ;פ;א;ך;ש;ד;ק;ל;כ;(19, 2, 5, 41, 1221)
א;ר;ל;ש;ו;ב;ח;ף;ו;ס;י;נ;ב;ב;ס;י;ם;ו;ה;ת;(19, 2, 6, 15, 1241)
ץ;ר;א;ה;י;ת;ד;ר;י;ם;י;ר;ה;י;ב;צ;ק;ל;י;ש;(19, 2, 6, 35, 1261)
ש;מ;ל;ע;ת;ו;ם;ל;ו;ע;ל;י;ד;ע;ב;ה;י;ח;ר;ב;(19, 2, 7, 19, 1281)
ע;ף;ט;ע;ת;ה;ב;י;ה;ל;א;ה;ו;ה;י;י;י;ח;ת;ח;(19, 2, 7, 39, 1301)
ב;ת;ו;י;ת;ר;כ;ז;ה;ו;ה;י;ת;א;י;ש;פ;נ;י;ל;(19, 2, 8, 8, 1321)
ש;ד;ק;ל;כ;י;ה;ל;א;י;ת;ל;פ;ת;ך;י;ל;א;א;ו;(19, 2, 8, 28, 1341)
ע;י;ם;ד;ס;ח;א;ו;ש;י;ל;ב;ה;ם;י;ר;מ;ש;מ;ך;(19, 2, 8, 48, 1361)
ה;ח;ב;ז;א;ה;ד;ו;ת;ל;ו;ק;ב;י;נ;א;ו;ו;ב;ז;(19, 2, 9, 20, 1381)
ת;ע;ו;ש;י;ה;מ;ל;ש;א;י;ת;ר;ד;נ;ר;ש;א;ך;ל;(19, 2, 10, 18, 1401)
י;ו;ג;ד;ל;ה;ו;ה;י;ר;מ;א;י;ו;ה;ו;ה;י;ל;ה;(19, 2, 10, 38, 1421)
ד;י;ה;י;ו;ה;ש;ב;י;ה;ל;א;ה;נ;ו;י;ת;א;א;ק;(19, 2, 11, 15, 1441)
ר;מ;א;ל;ת;י;נ;ש;ה;נ;ו;י;ל;א;ה;ו;ה;י;ר;ב;(19, 3, 1, 6, 1461)
ו;ד;ג;ה;ר;י;ע;ה;ה;ו;נ;י;נ;ל;א;ך;ל;ם;ו;ק;(19, 3, 2, 1, 1481)
ש;א;ה;א;י;ר;ק;ה;ת;א;ה;י;ל;א;א;ר;ק;ו;ה;ל;(19, 3, 2, 21, 1501)
ה;נ;ו;י;ם;ק;י;ו;ך;י;ל;א;ר;ב;ד;י;כ;נ;א;ר;(19, 3, 2, 41, 1521)
ו;ה;ו;ה;י;ר;ב;ד;כ;ה;ו;נ;י;נ;ל;א;ך;ל;י;ו;(19, 3, 3, 9, 1541)
ל;א;ל;ה;ל;ו;ד;ג;ר;י;ע;ה;ת;י;ה;ה;ו;נ;י;נ;(19, 3, 3, 29, 1561)
י;ל;ח;י;ו;ם;י;מ;י;ת;ש;ל;ש;ך;ל;ה;מ;ם;י;ה;(19, 3, 3, 49, 1581)
ח;א;ם;ו;י;ך;ל;ה;מ;ר;י;ע;ב;א;ו;ב;ל;ה;נ;ו;(19, 3, 4, 6, 1601)
ם;י;ע;ב;ר;א;ד;ו;ע;ר;מ;א;י;ו;א;ר;ק;י;ו;ד;(19, 3, 4, 26, 1621)
נ;י;מ;א;י;ו;ת;כ;פ;ה;נ;ה;ו;נ;י;נ;ו;ם;ו;י;(19, 3, 4, 46, 1641)
ר;ק;י;ו;ם;י;ה;ל;א;ב;ה;ו;נ;י;נ;י;ש;נ;א;ו;(19, 3, 5, 7, 1661)
ל;ו;ד;ג;מ;ם;י;ק;ש;ו;ש;ב;ל;י;ו;ם;ו;צ;ו;א;(19, 3, 5, 27, 1681)
ל;מ;ל;א;ר;ב;ד;ה;ע;ג;י;ו;ם;נ;ט;ק;ד;ע;ו;ם;(19, 3, 5, 47, 1701)
ר;ב;ע;י;ו;ו;א;ס;כ;מ;ם;ק;י;ו;ה;ו;נ;י;נ;ך;(19, 3, 6, 13, 1721)
ב;ש;י;ו;ק;ש;ס;כ;י;ו;ו;י;ל;ע;מ;ו;ת;ר;ד;א;(19, 3, 6, 33, 1741)
נ;י;נ;ב;ר;מ;א;י;ו;ק;ע;ז;י;ו;ר;פ;א;ה;ל;ע;(19, 3, 6, 53, 1761)
ר;מ;א;ל;ו;י;ל;ד;ג;ו;ך;ל;מ;ה;ם;ע;ט;מ;ה;ו;(19, 3, 7, 15, 1781)
א;ן;א;צ;ה;ו;ר;ק;ב;ה;ה;מ;ה;ב;ה;ו;ם;ד;א;ה;(19, 3, 7, 35, 1801)
י;מ;ו;ו;ע;ר;י;ל;א;ה;מ;ו;א;מ;ו;מ;ע;ט;י;ל;(19, 3, 7, 55, 1821)
ד;א;ה;ם;י;ק;ש;ו;ס;כ;ת;י;ו;ו;ת;ש;י;ל;א;ם;(19, 3, 7, 75, 1841)
ם;י;ה;ל;א;ל;א;ו;א;ר;ק;י;ו;ה;מ;ה;ב;ה;ו;ם;(19, 3, 8, 14, 1861)
ר;ה;ו;כ;ר;ד;מ;ש;י;א;ו;ב;ש;י;ו;ה;ק;ז;ח;ב;(19, 3, 8, 34, 1881)
י;מ;ם;ה;י;פ;כ;ב;ר;ש;א;ס;מ;ח;ה;ן;מ;ו;ה;ע;(19, 3, 8, 54, 1901)
ש;ו;ם;י;ה;ל;א;ה;ם;ח;נ;ו;ב;ו;ש;י;ע;ד;ו;י;(19, 3, 9, 3, 1921)
א;ר;י;ו;ד;ב;א;נ;א;ל;ו;ו;פ;א;ן;ו;ר;ח;מ;ב;(19, 3, 9, 23, 1941)
מ;ו;ב;ש;י;כ;ם;ה;י;ש;ע;מ;ת;א;ם;י;ה;ל;א;ה;(19, 3, 10, 5, 1961)
ע;ם;י;ה;ל;א;ה;ם;ח;נ;י;ו;ה;ע;ר;ה;ם;כ;ר;ד;(19, 3, 10, 25, 1981)
ו;ם;ה;ל;ת;ו;ש;ע;ל;ר;ב;ד;ר;ש;א;ה;ע;ר;ה;ל;(19, 3, 10, 45, 2001)
ד;ג;ה;ע;ר;ה;נ;ו;י;ל;א;ע;ר;י;ו;ה;ש;ע;א;ל;(19, 3, 10, 65, 2021)
ו;ה;י;ל;א;ל;ל;פ;ת;י;ו;ו;ל;ר;ח;י;ו;ה;ל;ו;(19, 4, 1, 16, 2041)
ד;ה;ז;א;ו;ל;ה;ה;ו;ה;י;ה;נ;א;ר;מ;א;י;ו;ה;(19, 4, 2, 12, 2061)
כ;ל;ע;י;ת;מ;ד;א;ל;ע;י;ת;ו;י;ה;ד;ע;י;ר;ב;(19, 4, 2, 32, 2081)
ד;י;י;כ;ה;ש;י;ש;ר;ת;ח;ר;ב;ל;י;ת;מ;ד;ק;ן;(19, 4, 2, 52, 2101)
א;ם;ו;ח;ר;ו;ן;ו;נ;ח;ל;א;ה;ת;א;י;כ;י;ת;ע;(19, 4, 2, 72, 2121)
ר;ה;ל;ע;ם;ח;נ;ו;ד;ס;ח;ב;ר;ו;ם;י;פ;א;ך;ר;(19, 4, 2, 92, 2141)
י;ש;פ;נ;ת;א;א;נ;ח;ק;ה;ו;ה;י;ה;ת;ע;ו;ה;ע;(19, 4, 2, 112, 2161)
א;י;ו;י;י;ח;מ;י;ת;ו;מ;ב;ו;ט;י;כ;י;נ;מ;מ;(19, 4, 3, 19, 2181)
א;צ;י;ו;ך;ל;ה;ר;ח;ב;ט;י;ה;ה;ה;ו;ה;י;ר;מ;(19, 4, 4, 4, 2201)
ע;ל;ם;ד;ק;מ;ב;ש;י;ו;ר;י;ע;ה;ן;מ;ה;נ;ו;י;(19, 4, 5, 5, 2221)
ת;ח;ת;ב;ש;י;ו;ה;כ;ס;ם;ש;ו;ל;ש;ע;י;ו;ר;י;(19, 4, 5, 25, 2241)
ה;י;ה;י;ה;מ;ה;א;ר;י;ר;ש;א;ד;ע;ל;צ;ב;ה;י;(19, 4, 5, 45, 2261)
ק;י;ק;ם;י;ה;ל;א;ה;ו;ה;י;ן;מ;י;ו;ר;י;ע;ב;(19, 4, 5, 65, 2281)
ת;ו;י;ה;ל;ה;נ;ו;י;ל;ל;ע;מ;ל;ע;י;ו;ן;ו;י;(19, 4, 6, 17, 2301)
ו;ת;ע;ר;מ;ו;ל;ל;י;צ;ה;ל;ו;ש;א;ר;ל;ע;ל;צ;(19, 4, 6, 37, 2321)
מ;ש;ן;ו;י;ק;י;ק;ה;ל;ע;ה;נ;ו;י;ח;מ;ש;י;ו;(19, 4, 6, 57, 2341)
ל;ו;ת;ם;י;ה;ל;א;ה;ן;מ;י;ו;ה;ל;ו;ד;ג;ה;ח;(19, 4, 6, 77, 2361)
א;ך;ת;ו;ת;ר;ח;מ;ל;ר;ח;ש;ה;ת;ו;ל;ע;ב;ת;ע;(19, 4, 7, 14, 2381)
ר;ז;כ;י;ה;י;ו;ש;ב;י;י;ו;ן;ו;י;ק;י;ק;ה;ת;(19, 4, 7, 34, 2401)
י;ד;ק;ח;ו;ר;ם;י;ה;ל;א;ן;מ;י;ו;ש;מ;ש;ה;ח;(19, 4, 8, 8, 2421)
י;ש;א;ר;ל;ע;ש;מ;ש;ה;ך;ת;ו;ת;י;ש;י;ר;ח;ם;(19, 4, 8, 28, 2441)
ו;ש;פ;נ;ת;א;ל;א;ש;י;ו;ף;ל;ע;ת;י;ו;ה;נ;ו;(19, 4, 8, 48, 2461)
י;י;ח;מ;י;ת;ו;מ;ב;ו;ט;ר;מ;א;י;ו;ת;ו;מ;ל;(19, 4, 8, 68, 2481)
ט;י;ה;ה;ה;נ;ו;י;ל;א;ם;י;ה;ל;א;ר;מ;א;י;ו;(19, 4, 9, 1, 2501)
ר;מ;א;י;ו;ן;ו;י;ק;י;ק;ה;ל;ע;ך;ל;ה;ר;ח;ב;(19, 4, 9, 21, 2521)
י;ר;מ;א;י;ו;ת;ו;מ;ד;ע;י;ל;ה;ר;ח;ב;ט;י;ה;(19, 4, 9, 41, 2541)
ש;א;ן;ו;י;ק;י;ק;ה;ל;ע;ת;ס;ח;ה;ת;א;ה;ו;ה;(19, 4, 10, 7, 2561)
ן;ב;ש;ו;ת;ל;ד;ג;א;ל;ו;ו;ב;ת;ל;מ;ע;א;ל;ר;(19, 4, 10, 27, 2581)
נ;א;ו;ד;ב;א;ה;ל;י;ל;ן;ב;ו;ה;י;ה;ה;ל;י;ל;(19, 4, 10, 47, 2601)
ג;ה;ר;י;ע;ה;ה;ו;נ;י;נ;ל;ע;ס;ו;ח;א;א;ל;י;(19, 4, 11, 4, 2621)
ם;י;ת;ש;מ;ה;ב;ר;ה;ה;ב;ש;י;ר;ש;א;ה;ל;ו;ד;(19, 4, 11, 24, 2641)
י;ב;ע;ד;י;א;ל;ר;ש;א;ם;ד;א;ו;ב;ר;ה;ר;ש;ע;(19, 4, 11, 44, 2661)
ה;ב;ר;ה;מ;ה;ב;ו;ו;ל;א;מ;ש;ל;ו;נ;י;מ;י;ן;(19, 4, 11, 64, 2681)
